word,colour,stim_condition,correct_res,key_resp.corr,key_resp.rt,,,
GREEN,blue,i,b,1,2.2567299,,,
BLUE,red,i,r,1,2.3918425,,,
GREEN,yellow,i,y,1,0.938235,,,
BLUE,green,i,g,1,0.7479159,,,
YELLOW,green,i,g,1,0.5489703,,,
YELLOW,red,i,r,1,1.0961741,,,
BLUE,green,i,g,1,0.5393648,,,
GREEN,yellow,i,y,1,1.4859967,,,
YELLOW,green,i,g,1,0.8464509,,,
GREEN,blue,i,b,1,0.9128624,,,
RED,yellow,i,y,1,0.8073064,,,
YELLOW,red,i,r,1,1.0236131,,,
RED,green,i,g,1,1.3447205,,,
BLUE,red,i,r,1,1.91007,,,
RED,blue,i,b,1,1.0149403,,,
YELLOW,blue,i,b,1,0.6128754,,,
BLUE,yellow,i,y,1,0.7255178,,,
GREEN,red,i,r,1,0.8703306,,,
YELLOW,red,i,r,1,1.1053925,,,
YELLOW,blue,i,b,1,1.3266592,,,
RED,yellow,i,y,1,0.7320622,,,
GREEN,yellow,i,y,1,1.0720359,,,
GREEN,red,i,r,1,1.66961,,,
BLUE,red,i,r,1,1.0526378,,,
RED,green,i,g,1,0.7420098,,,
RED,blue,i,b,1,0.8087635,,,
YELLOW,green,i,g,1,1.8288898,,,
BLUE,green,i,g,1,0.5797035,,,
BLUE,yellow,i,y,1,0.6356095,,,
GREEN,blue,i,b,1,1.7622906,,,
